what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1356209384757
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1356209384905
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1356209385103
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1356209385194
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1356209385245
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1356209385300
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1356209385426
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1356209385491
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1356209385520
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1356209385640
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1356209385834
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1356209385924
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1356209385924
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1356209386044
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1356209386080
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1356209386097
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1356209386120
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1356209386226
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1356209386293
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1356209386332
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1356209386551
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1356209386661
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1356209386821
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1356209386914
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1356209387096
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1356209387096
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1356209387207
started,bundle,beaver,3.0.0.1330991996,"beaver",1356209387279
started,bundle,com.aptana.core,3.0.4.1341511062,"com.aptana.core",1356209387798
started,bundle,com.aptana.core.io,3.0.3.1339455718,"com.aptana.core.io",1356209387814
started,bundle,com.aptana.deploy.ui,1.0.0.1339628739,"com.aptana.deploy.ui",1356209387847
started,bundle,com.aptana.editor.php.epl,3.0.0.1342037941,"com.aptana.editor.php.epl",1356209387968
started,bundle,com.aptana.explorer,3.0.0.1338904888,"com.aptana.explorer",1356209388047
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1356209388064
started,bundle,com.aptana.git.core,3.0.0.1342049701,"com.aptana.git.core",1356209388870
started,bundle,com.aptana.git.ui,3.0.3.1341866455,"com.aptana.git.ui",1356209388989
started,bundle,com.aptana.portal.ui,3.0.0.1342050236,"com.aptana.portal.ui",1356209389062
started,bundle,com.aptana.scripting,3.0.0.1341241194,"com.aptana.scripting",1356209389120
started,bundle,com.aptana.scripting.ui,3.0.0.1337868086,"com.aptana.scripting.ui",1356209389169
started,bundle,com.aptana.syncing.core,3.0.0.1339455718,"com.aptana.syncing.core",1356209389206
started,bundle,com.aptana.syncing.ui,3.0.3.1339455718,"com.aptana.syncing.ui",1356209389444
started,bundle,com.aptana.theme,3.0.0.1339679951,"com.aptana.theme",1356209389556
started,bundle,com.aptana.ui,3.1.4.1343342720,"com.aptana.ui",1356209389612
started,bundle,com.aptana.ui.io,3.0.0.1341361380,"com.aptana.ui.io",1356209389679
started,bundle,com.aptana.usage,3.0.0.1343342720,"com.aptana.usage",1356209389708
started,bundle,com.python.pydev.analysis,2.6.0.2012062515,"com.python.pydev.analysis",1356209389781
started,bundle,org.python.pydev,2.6.0.2012062515,"org.python.pydev",1356209389781
started,bundle,org.python.pydev.core,2.6.0.2012062515,"org.python.pydev.core",1356209389856
started,bundle,org.python.pydev.red_core,2.6.0.2012062515,"org.python.pydev.red_core",1356209389946
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1356209389967
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1356209390010
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1356209390056
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1356209390082
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1356209390172
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1356209390220
started,bundle,org.eclipse.tm.tcf,0.4.0.201106081058,"org.eclipse.tm.tcf",1356209390237
started,bundle,org.eclipse.tm.tcf.cdt.ui,0.4.0.201106081058,"org.eclipse.tm.tcf.cdt.ui",1356209390248
started,bundle,org.eclipse.tm.tcf.core,0.4.0.201106081058,"org.eclipse.tm.tcf.core",1356209390257
started,bundle,org.eclipse.tm.tcf.debug,0.4.0.201106081058,"org.eclipse.tm.tcf.debug",1356209390281
started,bundle,org.eclipse.tm.tcf.debug.ui,0.4.0.201106081058,"org.eclipse.tm.tcf.debug.ui",1356209390297
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1356209390297
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1356209390374
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1356209390374
os,sysinfo,,,"win32",1356209390386
arch,sysinfo,,,"x86_64",1356209390386
ws,sysinfo,,,"win32",1356209390386
locale,sysinfo,,,"en_US",1356209390386
processors,sysinfo,,,"1",1356209390387
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1356209390387
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1356209390387
java.specification.name,sysinfo,,,"Java Platform API Specification",1356209390387
java.specification.vendor,sysinfo,,,"Oracle Corporation",1356209390387
java.specification.version,sysinfo,,,"1.7",1356209390387
java.vendor,sysinfo,,,"Oracle Corporation",1356209390387
java.version,sysinfo,,,"1.7.0_01",1356209390387
java.vm.info,sysinfo,,,"mixed mode",1356209390387
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1356209390387
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356209390387
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1356209390387
java.vm.specification.version,sysinfo,,,"1.7",1356209390387
java.vm.vendor,sysinfo,,,"Oracle Corporation",1356209390387
java.vm.version,sysinfo,,,"21.1-b02",1356209390387
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356209390982
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356209391097
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1356209391148
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1356209392414
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1356209394587
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1356209394708
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1356209395054
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1356209396313
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1356209396654
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1356209396880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356209396940
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1356209397203
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1356209397424
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1356209397428
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1356209397504
started,bundle,com.aptana.browser,3.0.0.1337406272,"com.aptana.browser",1356209400027
started,bundle,com.aptana.configurations,3.0.3.1337406272,"com.aptana.configurations",1356209400108
started,bundle,com.aptana.projects,3.0.0.1341495176,"com.aptana.projects",1356209400151
started,bundle,com.aptana.samples.ui,3.0.0.1337281307,"com.aptana.samples.ui",1356209400170
started,bundle,com.aptana.samples,3.0.0.1337406272,"com.aptana.samples",1356209400179
opened,editor,com.aptana.portal.ui,3.0.0.1342050236,"com.aptana.portal.ui.browser.startPage",1356209400227
started,bundle,com.aptana.preview,3.0.0.1337406272,"com.aptana.preview",1356209400427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356209400450
activated,editor,com.aptana.portal.ui,3.0.0.1342050236,"com.aptana.portal.ui.browser.startPage",1356209403210
started,bundle,com.aptana.jetty.util.epl,3.0.0.1337703431,"com.aptana.jetty.util.epl",1356209410870
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1356209649212
closed,editor,com.aptana.portal.ui,3.0.0.1342050236,"com.aptana.portal.ui.browser.startPage",1356209649212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356209652643
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1356209724012
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1356209724266
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1356209725072
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1356209725406
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1356209725502
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1356209725569
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1356209725660
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1356209730090
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1356209730158
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1356209730166
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1356209730216
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1356209730900
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1356209731177
error,log,,,"Failed to load properties file for project 'androiding'",1356209732328
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1356209732492
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1356209734629
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1356209734979
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1356209735489
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1356209736064
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1356209736593
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1356209736847
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1356209736848
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1356209737588
